WT	drdd	logFC_drdd_WT	PValue_drdd_WT	FDR_drdd_WT
AT1TE16800	77.8016969281622	0	-3.90680727339271	0.0737031898619397	1
AT1TE16810	0	0	0	1	1
AT1TE17030	245.375149487018	257.780088508317	0.113387510801393	0.785178059110415	1
AT1TE17050	373.30711987839	212.327305280062	-0.878016044217992	0.18173851809448	1
AT1TE17090	0	0	0	1	1
AT1TE17095	0	0	0	1	1
AT1TE17300	0	0	0	1	1
AT1TE17305	0	0	0	1	1
AT1TE17315	0	0	0	1	1
AT1TE17320	0	0	0	1	1
AT1TE17360	0	0	0	1	1
AT1TE17365	0	0	0	1	1
AT1TE17370	0	0	0	1	1
AT1TE17410	0	0	0	1	1
AT1TE17415	0	0	0	1	1
AT1TE17510	0	0	0	1	1
AT1TE17515	0	0	0	1	1
AT1TE17550	0	0	0	1	1
AT1TE17555	0	0	0	1	1
AT1TE17560	0	0	0	1	1
AT1TE17610	0	0	0	1	1
AT1TE17830	0	0	0	1	1
AT1TE17870	0	0	0	1	1
AT1TE17875	0	0	0	1	1
AT1TE18210	0	0	0	1	1
AT1TE18215	0	0	0	1	1
AT1TE18220	0	0	0	1	1
AT1TE18270	0	0	0	1	1
AT1TE18275	0	0	0	1	1
AT1TE18280	0	0	0	1	1
AT1TE18285	0	0	0	1	1
AT1TE18290	0	0	0	1	1
AT1TE18295	0	0	0	1	1
AT1TE18300	0	0	0	1	1
AT1TE18370	0	0	0	1	1
AT1TE18375	0	0	0	1	1
AT1TE18380	0	0	0	1	1
AT1TE18385	0	0	0	1	1
AT1TE18410	0	0	0	1	1
AT1TE18415	0	0	0	1	1
AT1TE18700	0	0	0	1	1
AT1TE18740	0	0	0	1	1
AT1TE18745	0	0	0	1	1
AT1TE18750	0	0	0	1	1
AT1TE18770	843.662795045118	852.732428020118	-0.0631731971806964	0.999999999999999	1
AT1TE18775	0	0	0	1	1
AT1TE18785	0	0	0	1	1
AT1TE18790	0	0	0	1	1
AT1TE18795	0	0	0	1	1
AT1TE18810	0	0	0	1	1
AT1TE18950	0	0	0	1	1
AT1TE18955	0	0	0	1	1
AT1TE18960	0	0	0	1	1
AT1TE19050	0	0	0	1	1
AT1TE19080	0	0	0	1	1
AT1TE19085	0	0	0	1	1
AT1TE19090	0	0	0	1	1
AT1TE19095	0	0	0	1	1
AT1TE19130	0	0	0	1	1
AT1TE19135	0	0	0	1	1
AT1TE19270	0	0	0	1	1
AT1TE19280	0	0	0	1	1
AT1TE19285	0	0	0	1	1
AT1TE19290	0	0	0	1	1
AT1TE19295	0	0	0	1	1
AT1TE19300	0	0	0	1	1
AT1TE19400	0	0	0	1	1
AT1TE19430	2.97508705192014	5.03570691177138	0.8361156448169	0.764479652046804	1
AT1TE19435	0	0	0	1	1
AT1TE19630	0	0	0	1	1
AT1TE19635	0	0	0	1	1
AT1TE19640	0	0	0	1	1
AT1TE19730	0	37.9456721766132	3.46771962669743	0.265207941741895	1
